iter	Logloss
0	0.675926571
1	0.6598557849
2	0.6444870497
3	0.6306763857
4	0.6177290702
5	0.6056176451
6	0.5940156628
7	0.58302881
8	0.573021299
9	0.5636948289
10	0.5549522949
11	0.5466808045
12	0.5389810903
13	0.531778915
14	0.5250974795
15	0.518697739
16	0.5130523665
17	0.5078240912
18	0.5034183399
19	0.4986968453
20	0.4942708361
21	0.490331108
22	0.4865889568
23	0.4830266727
24	0.4794763431
25	0.4762743127
26	0.4733766817
27	0.4703917258
28	0.4677067355
29	0.4653097512
30	0.4631564278
31	0.4609810755
32	0.4592090821
33	0.4573619062
34	0.4554344553
35	0.4538786406
36	0.4524225434
37	0.4508892789
38	0.4495363234
39	0.4481841055
40	0.4469793242
41	0.4458863179
42	0.4446603221
43	0.4435705995
44	0.4426227566
45	0.4420453084
46	0.4411771763
47	0.4403561759
48	0.4396314485
49	0.4391614006
50	0.4384585994
51	0.4378205716
52	0.4373181702
53	0.4371281541
54	0.4367166162
55	0.4361947368
56	0.4356152512
57	0.4351299118
58	0.4345361693
59	0.4341001842
60	0.4336049981
61	0.4332312473
62	0.4328597752
63	0.4327745912
64	0.4324864982
65	0.4322740137
66	0.4319629798
67	0.4317350979
68	0.4314721839
69	0.431229551
70	0.4311689492
71	0.4307839933
72	0.4304905777
73	0.4303056219
74	0.4301592804
75	0.4300379884
76	0.4298397887
77	0.4296499672
78	0.4294790464
79	0.4293093422
80	0.4291125686
81	0.4289409678
82	0.4286673787
83	0.4285303613
84	0.4284063263
85	0.4282736444
86	0.4280503703
87	0.4278983304
88	0.4278244054
89	0.4276496621
90	0.4274815366
91	0.4273693579
92	0.4272615025
93	0.4271386785
94	0.4270266533
95	0.4269251118
96	0.4268387619
97	0.42673996
98	0.4265622789
99	0.4265154303
100	0.426400296
101	0.4262818726
102	0.4261810873
103	0.4260980788
104	0.4259973252
105	0.4258630642
106	0.425759613
107	0.4256937838
108	0.4255924483
109	0.4254651651
110	0.4253839924
111	0.4252612769
112	0.4251720373
113	0.4250715789
114	0.4250181039
115	0.4249134735
116	0.4247545301
117	0.424633884
118	0.4245328686
119	0.4244684104
120	0.4243623179
121	0.4242835702
122	0.4241740191
123	0.4240885066
124	0.4240025674
125	0.4239369749
126	0.4239297713
127	0.4238374582
128	0.4237840427
129	0.4237321105
130	0.4236259079
131	0.4235973622
132	0.4234888534
133	0.4234883264
134	0.4234005676
135	0.4232943635
136	0.4231832751
137	0.4230964824
138	0.4230489255
139	0.4229789934
140	0.4228849129
141	0.4228209771
142	0.4227044466
143	0.4226591117
144	0.4225937763
145	0.4225005019
146	0.4224498117
147	0.422374063
148	0.4222626384
149	0.4222571443
150	0.4221079812
151	0.4220276362
152	0.4219315257
153	0.4218778248
154	0.4217812581
155	0.4216960477
156	0.4216194155
157	0.4215412358
158	0.4214580237
159	0.4213742805
160	0.4212565962
161	0.4211717785
162	0.4210690966
163	0.4210182529
164	0.4209403159
165	0.4209039148
166	0.4208030439
167	0.4207034004
168	0.4205956175
169	0.4205326698
170	0.4204771924
171	0.4204318236
172	0.4203472426
173	0.4202928125
174	0.4202262385
175	0.4201388021
176	0.4200235609
177	0.4199572944
178	0.4198854126
179	0.4197973544
180	0.4197234418
181	0.4197042857
182	0.4196712663
183	0.4196106373
184	0.4195434254
185	0.4194557233
186	0.4193115778
187	0.4192395515
188	0.4191649262
189	0.4190706799
190	0.4189757572
191	0.4188834154
192	0.4188221935
193	0.4187752376
194	0.4186577773
195	0.4185910925
196	0.4185384227
197	0.4184708111
198	0.4183676958
199	0.4183025423
