iter	Passed	Remaining
0	11	2328
1	23	2347
2	35	2310
3	45	2248
4	56	2196
5	68	2198
6	79	2192
7	90	2173
8	101	2149
9	113	2149
10	124	2145
11	136	2135
12	149	2146
13	161	2140
14	171	2118
15	183	2104
16	194	2094
17	206	2084
18	217	2072
19	233	2099
20	249	2125
21	262	2126
22	278	2144
23	294	2156
24	308	2162
25	322	2160
26	339	2177
27	355	2186
28	372	2197
29	384	2180
30	395	2158
31	411	2160
32	425	2155
33	440	2148
34	453	2137
35	467	2127
36	478	2107
37	492	2097
38	506	2090
39	522	2088
40	535	2077
41	548	2063
42	562	2053
43	574	2036
44	588	2025
45	599	2006
46	610	1987
47	620	1966
48	632	1949
49	644	1933
50	658	1922
51	675	1921
52	688	1909
53	696	1882
54	709	1871
55	720	1852
56	731	1835
57	744	1822
58	759	1814
59	769	1794
60	784	1787
61	813	1809
62	826	1797
63	838	1781
64	849	1763
65	861	1749
66	878	1743
67	889	1727
68	900	1709
69	909	1689
70	915	1662
71	926	1646
72	937	1631
73	947	1613
74	959	1598
75	970	1584
76	980	1566
77	991	1551
78	1008	1545
79	1020	1530
80	1033	1519
81	1046	1506
82	1057	1491
83	1071	1479
84	1082	1464
85	1093	1450
86	1105	1435
87	1120	1426
88	1132	1411
89	1142	1395
90	1153	1381
91	1164	1366
92	1174	1351
93	1185	1337
94	1196	1322
95	1209	1309
96	1220	1295
97	1233	1283
98	1244	1269
99	1255	1255
100	1267	1242
101	1281	1231
102	1295	1219
103	1305	1205
104	1315	1189
105	1326	1175
106	1340	1164
107	1350	1150
108	1362	1137
109	1371	1122
110	1381	1107
111	1394	1095
112	1410	1085
113	1423	1073
114	1436	1062
115	1447	1048
116	1460	1035
117	1474	1024
118	1487	1012
119	1500	1000
120	1513	988
121	1527	976
122	1541	965
123	1554	952
124	1565	939
125	1575	925
126	1584	910
127	1597	898
128	1607	884
129	1618	871
130	1633	860
131	1644	847
132	1655	833
133	1664	819
134	1677	807
135	1690	795
136	1704	783
137	1718	772
138	1730	759
139	1744	747
140	1755	734
141	1767	721
142	1780	709
143	1792	697
144	1802	683
145	1813	670
146	1823	657
147	1833	644
148	1845	631
149	1851	617
150	1863	604
151	1874	591
152	1884	578
153	1895	566
154	1906	553
155	1916	540
156	1928	528
157	1939	515
158	1949	502
159	1961	490
160	1971	477
161	1992	467
162	2005	455
163	2015	442
164	2027	430
165	2039	417
166	2050	405
167	2062	392
168	2075	380
169	2085	368
170	2095	355
171	2105	342
172	2116	330
173	2125	317
174	2137	305
175	2148	292
176	2157	280
177	2170	268
178	2181	255
179	2191	243
180	2203	231
181	2216	219
182	2225	206
183	2235	194
184	2246	182
185	2256	169
186	2266	157
187	2275	145
188	2285	133
189	2295	120
190	2304	108
191	2317	96
192	2328	84
193	2337	72
194	2348	60
195	2360	48
196	2371	36
197	2391	24
198	2401	12
199	2411	0
