customer_id	tenure	monthly_charges	total_charges	contract	payment_method	internet_service	tech_support	online_security	support_calls	churn
1	52	54.2	2818.4	Month-to-month	Credit	DSL	No	Yes	1	No
2	15	35.28	529.2	Month-to-month	Debit	DSL	No	No	2	No
3	72	78.24	5633.28	Month-to-month	Debit	DSL	No	No	0	No
4	61	80.24	4894.64	One year	Cash	Fiber	Yes	Yes	0	No
5	21	39.38	826.98	Month-to-month	UPI	Fiber	No	No	4	Yes
6	24	39.66	951.84	Two year	Cash	Fiber	No	No	1	No
7	3	118.95	356.85	Month-to-month	Credit	DSL	No	No	2	Yes
8	22	44.33	975.26	Month-to-month	Debit	Fiber	Yes	Yes	0	No
9	53	103.82	5502.46	Month-to-month	UPI	Fiber	Yes	Yes	1	No
10	2	67.03	134.06	Two year	Credit	DSL	No	Yes	2	No
11	30	63.5	1905	One year	Cash	DSL	No	Yes	1	No
12	38	49.5	1881	Month-to-month	Debit	None	No	Yes	1	Yes
13	2	97.38	194.76	Month-to-month	Cash	DSL	No	Yes	2	Yes
14	64	108.07	6916.48	Month-to-month	Debit	DSL	Yes	No	1	No
15	60	46.11	2766.6	One year	Debit	Fiber	No	Yes	0	No
16	21	29.51	619.71	Month-to-month	UPI	DSL	No	No	1	No
17	33	33.69	1111.77	Month-to-month	Cash	Fiber	No	No	1	No
18	58	99.28	5758.24	One year	Credit	Fiber	No	No	2	No
19	22	63.58	1398.76	Month-to-month	Debit	DSL	No	Yes	1	No
20	49	33.19	1626.31	Two year	Debit	Fiber	Yes	Yes	0	No
21	59	54.03	3187.77	Two year	Credit	Fiber	No	Yes	0	No
22	42	71.42	2999.64	One year	Credit	Fiber	No	No	0	No
23	60	105.21	6312.6	Two year	Credit	Fiber	Yes	Yes	3	No
24	15	84.17	1262.55	Month-to-month	Credit	Fiber	No	Yes	1	Yes
25	62	37.6	2331.2	Month-to-month	Cash	DSL	No	No	1	No
26	62	35.87	2223.94	Month-to-month	Debit	DSL	Yes	Yes	1	No
27	47	61.23	2877.81	Two year	UPI	DSL	No	No	0	No
28	62	27.52	1706.24	Month-to-month	Credit	Fiber	No	No	3	Yes
29	51	95.56	4873.56	Month-to-month	UPI	DSL	No	No	3	Yes
30	55	60.15	3308.25	Two year	UPI	Fiber	No	No	1	No
31	64	54.3	3475.2	One year	UPI	DSL	No	Yes	3	No
32	3	70.91	212.73	Month-to-month	Cash	Fiber	No	No	3	Yes
33	51	90.9	4635.9	Month-to-month	Credit	None	No	No	6	Yes
34	7	76.93	538.51	Month-to-month	UPI	Fiber	No	Yes	2	No
35	21	100.24	2105.04	Month-to-month	UPI	Fiber	No	Yes	3	Yes
36	39	82.94	3234.66	Month-to-month	Debit	DSL	No	Yes	0	No
37	18	98.8	1778.4	Month-to-month	Credit	DSL	No	Yes	2	Yes
38	4	89.68	358.72	Month-to-month	Cash	Fiber	No	No	4	Yes
39	60	39.31	2358.6	Month-to-month	Credit	Fiber	No	No	1	No
40	14	25.24	353.36	Month-to-month	Credit	Fiber	Yes	No	0	No
41	9	110.34	993.06	One year	Credit	Fiber	Yes	Yes	0	No
42	53	114.57	6072.21	Month-to-month	Credit	Fiber	Yes	Yes	1	No
43	2	92.69	185.38	Month-to-month	Debit	Fiber	Yes	Yes	1	No
44	60	92.42	5545.2	Month-to-month	UPI	Fiber	Yes	No	1	No
45	71	47.01	3337.71	Two year	Debit	Fiber	Yes	No	1	No
46	44	74.24	3266.56	Two year	Cash	None	No	No	1	No
47	8	119.22	953.76	Month-to-month	UPI	DSL	No	Yes	0	Yes
48	47	105.61	4963.67	Two year	Credit	Fiber	No	No	2	No
49	35	50.44	1765.4	Month-to-month	Debit	DSL	No	No	1	No
50	36	50.1	1803.6	Month-to-month	Credit	Fiber	No	No	3	Yes
51	50	68.36	3418	Month-to-month	Credit	DSL	Yes	No	1	No
52	4	60.46	241.84	Month-to-month	Cash	DSL	No	Yes	1	Yes
53	2	57.12	114.24	One year	UPI	DSL	No	No	1	Yes
54	6	82.7	496.2	Month-to-month	Cash	Fiber	No	No	0	Yes
55	54	21.15	1142.1	One year	Cash	Fiber	No	Yes	0	No
56	4	96.33	385.32	Month-to-month	UPI	DSL	Yes	Yes	1	Yes
57	54	94.01	5076.54	Month-to-month	Cash	Fiber	No	Yes	2	No
58	63	103.03	6490.89	Month-to-month	UPI	None	No	No	1	Yes
59	18	104.15	1874.7	Month-to-month	Cash	Fiber	No	Yes	3	Yes
60	44	76.64	3372.16	One year	Debit	DSL	Yes	No	4	No
61	34	98.01	3332.34	One year	UPI	Fiber	No	Yes	3	Yes
62	62	69.24	4292.88	Month-to-month	Credit	DSL	No	No	1	No
63	14	115.15	1612.1	Month-to-month	Cash	Fiber	No	No	1	Yes
64	48	39.07	1875.36	Month-to-month	Cash	DSL	No	No	3	Yes
65	15	111.56	1673.4	Two year	UPI	DSL	No	No	3	No
66	72	45.85	3301.2	Month-to-month	Cash	Fiber	No	Yes	1	No
67	62	30.27	1876.74	Month-to-month	Cash	DSL	No	Yes	2	No
68	40	63.91	2556.4	Month-to-month	UPI	None	Yes	No	0	Yes
69	53	81.49	4318.97	Month-to-month	UPI	Fiber	Yes	No	4	Yes
70	24	43.1	1034.4	Two year	Cash	Fiber	No	Yes	1	No
71	26	75.58	1965.08	Month-to-month	UPI	DSL	Yes	Yes	2	No
72	60	100.79	6047.4	Two year	Cash	DSL	No	Yes	0	No
73	41	45.71	1874.11	One year	Cash	Fiber	No	No	1	No
