tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
52,54.2,2818.4,Month-to-month,Credit,DSL,No,Yes,1,0
15,35.28,529.2,Month-to-month,Debit,DSL,No,No,2,0
72,78.24,5633.28,Month-to-month,Debit,DSL,No,No,0,0
61,80.24,4894.64,One year,Cash,Fiber,Yes,Yes,0,0
21,39.38,826.98,Month-to-month,UPI,Fiber,No,No,4,1
24,39.66,951.84,Two year,Cash,Fiber,No,No,1,0
3,118.95,356.85,Month-to-month,Credit,DSL,No,No,2,1
22,44.33,975.26,Month-to-month,Debit,Fiber,Yes,Yes,0,0
53,103.82,5502.46,Month-to-month,UPI,Fiber,Yes,Yes,1,0
2,67.03,134.06,Two year,Credit,DSL,No,Yes,2,0
30,63.5,1905.0,One year,Cash,DSL,No,Yes,1,0
38,49.5,1881.0,Month-to-month,Debit,,No,Yes,1,1
2,97.38,194.76,Month-to-month,Cash,DSL,No,Yes,2,1
64,108.07,6916.48,Month-to-month,Debit,DSL,Yes,No,1,0
60,46.11,2766.6,One year,Debit,Fiber,No,Yes,0,0
21,29.51,619.71,Month-to-month,UPI,DSL,No,No,1,0
33,33.69,1111.77,Month-to-month,Cash,Fiber,No,No,1,0
58,99.28,5758.24,One year,Credit,Fiber,No,No,2,0
22,63.58,1398.76,Month-to-month,Debit,DSL,No,Yes,1,0
49,33.19,1626.31,Two year,Debit,Fiber,Yes,Yes,0,0
59,54.03,3187.77,Two year,Credit,Fiber,No,Yes,0,0
42,71.42,2999.64,One year,Credit,Fiber,No,No,0,0
60,105.21,6312.6,Two year,Credit,Fiber,Yes,Yes,3,0
15,84.17,1262.55,Month-to-month,Credit,Fiber,No,Yes,1,1
62,37.6,2331.2,Month-to-month,Cash,DSL,No,No,1,0
62,35.87,2223.94,Month-to-month,Debit,DSL,Yes,Yes,1,0
47,61.23,2877.81,Two year,UPI,DSL,No,No,0,0
62,27.52,1706.24,Month-to-month,Credit,Fiber,No,No,3,1
51,95.56,4873.56,Month-to-month,UPI,DSL,No,No,3,1
55,60.15,3308.25,Two year,UPI,Fiber,No,No,1,0
64,54.3,3475.2,One year,UPI,DSL,No,Yes,3,0
3,70.91,212.73,Month-to-month,Cash,Fiber,No,No,3,1
51,90.9,4635.9,Month-to-month,Credit,,No,No,6,1
7,76.93,538.51,Month-to-month,UPI,Fiber,No,Yes,2,0
21,100.24,2105.04,Month-to-month,UPI,Fiber,No,Yes,3,1
39,82.94,3234.66,Month-to-month,Debit,DSL,No,Yes,0,0
18,98.8,1778.4,Month-to-month,Credit,DSL,No,Yes,2,1
4,89.68,358.72,Month-to-month,Cash,Fiber,No,No,4,1
60,39.31,2358.6,Month-to-month,Credit,Fiber,No,No,1,0
14,25.24,353.36,Month-to-month,Credit,Fiber,Yes,No,0,0
9,110.34,993.06,One year,Credit,Fiber,Yes,Yes,0,0
53,114.57,6072.21,Month-to-month,Credit,Fiber,Yes,Yes,1,0
2,92.69,185.38,Month-to-month,Debit,Fiber,Yes,Yes,1,0
60,92.42,5545.2,Month-to-month,UPI,Fiber,Yes,No,1,0
71,47.01,3337.71,Two year,Debit,Fiber,Yes,No,1,0
44,74.24,3266.56,Two year,Cash,,No,No,1,0
8,119.22,953.76,Month-to-month,UPI,DSL,No,Yes,0,1
47,105.61,4963.67,Two year,Credit,Fiber,No,No,2,0
35,50.44,1765.4,Month-to-month,Debit,DSL,No,No,1,0
36,50.1,1803.6,Month-to-month,Credit,Fiber,No,No,3,1
50,68.36,3418.0,Month-to-month,Credit,DSL,Yes,No,1,0
4,60.46,241.84,Month-to-month,Cash,DSL,No,Yes,1,1
2,57.12,114.24,One year,UPI,DSL,No,No,1,1
6,82.7,496.2,Month-to-month,Cash,Fiber,No,No,0,1
54,21.15,1142.1,One year,Cash,Fiber,No,Yes,0,0
4,96.33,385.32,Month-to-month,UPI,DSL,Yes,Yes,1,1
54,94.01,5076.54,Month-to-month,Cash,Fiber,No,Yes,2,0
63,103.03,6490.89,Month-to-month,UPI,,No,No,1,1
18,104.15,1874.7,Month-to-month,Cash,Fiber,No,Yes,3,1
44,76.64,3372.16,One year,Debit,DSL,Yes,No,4,0
34,98.01,3332.34,One year,UPI,Fiber,No,Yes,3,1
62,69.24,4292.88,Month-to-month,Credit,DSL,No,No,1,0
14,115.15,1612.1,Month-to-month,Cash,Fiber,No,No,1,1
48,39.07,1875.36,Month-to-month,Cash,DSL,No,No,3,1
15,111.56,1673.4,Two year,UPI,DSL,No,No,3,0
72,45.85,3301.2,Month-to-month,Cash,Fiber,No,Yes,1,0
62,30.27,1876.74,Month-to-month,Cash,DSL,No,Yes,2,0
40,63.91,2556.4,Month-to-month,UPI,,Yes,No,0,1
53,81.49,4318.97,Month-to-month,UPI,Fiber,Yes,No,4,1
24,43.1,1034.4,Two year,Cash,Fiber,No,Yes,1,0
26,75.58,1965.08,Month-to-month,UPI,DSL,Yes,Yes,2,0
60,100.79,6047.4,Two year,Cash,DSL,No,Yes,0,0
41,45.71,1874.11,One year,Cash,Fiber,No,No,1,0
29,78.03,2262.87,One year,Cash,DSL,Yes,No,3,0
15,53.93,808.95,One year,Credit,DSL,No,No,4,0
45,72.98,3284.1,One year,UPI,Fiber,No,Yes,2,0
65,86.69,5634.85,Month-to-month,Credit,DSL,No,No,0,1
71,55.04,3907.84,Month-to-month,Debit,Fiber,Yes,No,2,0
9,119.45,1075.05,Month-to-month,Debit,Fiber,Yes,No,1,0
1,76.38,76.38,Month-to-month,Cash,Fiber,No,Yes,1,1
8,102.45,819.6,Month-to-month,Credit,Fiber,Yes,Yes,1,1
63,92.51,5828.13,Month-to-month,Cash,,Yes,No,1,0
11,105.28,1158.08,Month-to-month,Cash,Fiber,No,Yes,5,1
8,37.38,299.04,Month-to-month,Cash,,Yes,Yes,2,1
35,42.26,1479.1,Two year,Cash,Fiber,No,No,1,0
35,68.74,2405.9,One year,Cash,,No,No,0,0
33,105.23,3472.59,One year,Debit,Fiber,No,No,4,1
5,39.76,198.8,Month-to-month,UPI,DSL,Yes,No,3,1
41,117.11,4801.51,Month-to-month,UPI,DSL,Yes,Yes,0,0
28,32.76,917.28,Month-to-month,UPI,,No,No,0,0
7,37.51,262.57,Month-to-month,Debit,DSL,Yes,Yes,2,0
72,36.72,2643.84,Month-to-month,Credit,Fiber,No,No,1,0
12,78.6,943.2,One year,Debit,DSL,No,No,0,0
34,111.75,3799.5,One year,Debit,Fiber,No,No,1,0
33,45.51,1501.83,Month-to-month,Credit,Fiber,No,No,3,1
48,75.3,3614.4,Two year,Cash,DSL,Yes,No,2,0
23,37.58,864.34,One year,Cash,Fiber,No,No,2,0
62,83.11,5152.82,One year,Cash,DSL,No,No,1,0
37,32.32,1195.84,Month-to-month,Credit,DSL,No,No,2,0
44,69.13,3041.72,Two year,Debit,DSL,No,No,0,1
35,85.52,2993.2,Month-to-month,Debit,DSL,No,No,3,1
65,77.91,5064.15,Month-to-month,Credit,Fiber,No,No,1,1
47,34.0,1598.0,One year,Cash,DSL,No,No,1,1
3,36.14,108.42,Month-to-month,Credit,DSL,No,Yes,1,1
1,87.14,87.14,Two year,Debit,DSL,Yes,No,1,1
5,100.89,504.45,Two year,UPI,Fiber,No,Yes,1,1
14,110.81,1551.34,Month-to-month,UPI,DSL,No,Yes,2,1
27,101.36,2736.72,Month-to-month,UPI,DSL,No,Yes,0,1
9,117.39,1056.51,Month-to-month,Cash,Fiber,No,No,1,1
15,60.83,912.45,Month-to-month,Cash,DSL,No,Yes,2,0
42,53.12,2231.04,Month-to-month,Cash,,No,No,1,0
51,22.82,1163.82,Month-to-month,Cash,DSL,No,Yes,0,0
63,64.99,4094.37,Month-to-month,Credit,Fiber,Yes,No,3,0
52,85.14,4427.28,One year,UPI,Fiber,No,No,2,0
4,101.54,406.16,Month-to-month,UPI,DSL,No,No,2,1
23,46.75,1075.25,Two year,Cash,Fiber,Yes,No,3,0
15,71.36,1070.4,Month-to-month,Cash,,No,Yes,0,0
43,86.2,3706.6,Month-to-month,Credit,Fiber,Yes,No,2,0
29,75.16,2179.64,One year,Credit,DSL,No,No,0,1
